,database,topic,scuSentCharIdx,documentFile,docSentCharIdx,docSpanOffsets,summarySpanOffsets
0,2005,d345,10505,FT911-1006,180,"232, 318","10551, 10607"
1,2005,d345,1720,FT911-1006,5592,"5592, 5664","1870, 1944"
2,2005,d345,10365,FT911-1006,5592,"5592, 5664","10365, 10415"
3,2005,d345,5304,FT911-1006,5592,"5592, 5664","5399, 5490"
4,2005,d345,8864,FT911-4694,522,"522, 631","8864, 8883"
5,2005,d345,11188,FT911-4694,522,"522, 631","11269, 11289"
6,2005,d345,5563,FT911-4694,522,"522, 631","5572, 5601"
7,2005,d345,3405,FT911-4694,522,"522, 631","3414, 3491"
8,2005,d345,60,FT911-4694,522,"522, 631","286, 319"
9,2005,d345,6367,FT911-4694,858,"858, 977","6496, 6561"
10,2005,d345,6702,FT921-10767,0,"15, 44","6702, 6760"
11,2005,d345,4911,FT921-10767,0,"15, 44","4942, 4991"
12,2005,d345,6929,FT921-10767,0,"0, 11;106, 160","6929, 6988"
13,2005,d345,8385,FT921-10767,1309,"1309, 1418","8385, 8428"
14,2005,d345,10365,FT921-10767,1309,"1309, 1418","10416, 10457"
15,2005,d345,6702,FT921-10767,1309,"1309, 1418","6822, 6866"
16,2005,d345,5563,FT921-10767,1309,"1309, 1418","5563, 5601"
17,2005,d345,3335,FT921-10767,1309,"1309, 1418","3335, 3403"
18,2005,d345,1946,FT921-10767,1309,"1309, 1418","1946, 2037;2124, 2191"
19,2005,d345,622,FT921-10767,1309,"1309, 1418","622, 677"
20,2005,d345,8385,FT921-11387,0,"0, 129","8385, 8428"
21,2005,d345,8385,FT921-11387,131,"216, 357","8385, 8428"
22,2005,d345,8385,FT921-11387,701,"734, 844","8385, 8428"
23,2005,d345,8385,FT921-11387,923,"923, 936;1029, 1089","8385, 8428"
24,2005,d345,10365,FT921-11387,0,"0, 129","10416, 10457"
25,2005,d345,10365,FT921-11387,131,"216, 357","10416, 10457"
26,2005,d345,10365,FT921-11387,701,"734, 844","10416, 10457"
27,2005,d345,10365,FT921-11387,923,"923, 936;1029, 1089","10416, 10457"
28,2005,d345,6702,FT921-11387,0,"0, 129","6822, 6866"
29,2005,d345,6702,FT921-11387,131,"216, 357","6822, 6866"
30,2005,d345,6702,FT921-11387,701,"734, 844","6822, 6866"
31,2005,d345,6702,FT921-11387,923,"923, 936;1029, 1089","6822, 6866"
32,2005,d345,5563,FT921-11387,0,"0, 129","5563, 5601"
33,2005,d345,5563,FT921-11387,131,"216, 357","5563, 5601"
34,2005,d345,5563,FT921-11387,701,"734, 844","5563, 5601"
35,2005,d345,5563,FT921-11387,923,"923, 936;1029, 1089","5563, 5601"
36,2005,d345,3335,FT921-11387,0,"0, 129","3335, 3403"
37,2005,d345,3335,FT921-11387,131,"216, 357","3335, 3403"
38,2005,d345,3335,FT921-11387,701,"734, 844","3335, 3403"
39,2005,d345,3335,FT921-11387,923,"923, 936;1029, 1089","3335, 3403"
40,2005,d345,1946,FT921-11387,0,"0, 129","1946, 2037;2124, 2191"
41,2005,d345,1946,FT921-11387,131,"216, 357","1946, 2037;2124, 2191"
42,2005,d345,1946,FT921-11387,701,"734, 844","1946, 2037;2124, 2191"
43,2005,d345,1946,FT921-11387,923,"923, 936;1029, 1089","1946, 2037;2124, 2191"
44,2005,d345,622,FT921-11387,0,"0, 129","622, 677"
45,2005,d345,622,FT921-11387,131,"216, 357","622, 677"
46,2005,d345,622,FT921-11387,701,"734, 844","622, 677"
47,2005,d345,622,FT921-11387,923,"923, 936;1029, 1089","622, 677"
48,2005,d345,60,FT921-11387,131,"131, 215","8572, 8692"
49,2005,d345,6929,FT921-11387,923,"938, 1027","6929, 6988"
50,2005,d345,2433,FT921-11387,5483,"5597, 5642","2279, 2330;2528, 2572"
51,2005,d345,983,FT921-11387,5483,"5597, 5642","1047, 1074"
52,2005,d345,2433,FT921-11387,5483,"5483, 5596","2433, 2527"
53,2005,d345,1720,FT921-11612,1494,"1594, 1680","1720, 1789;3237, 3277"
54,2005,d345,10274,FT921-11612,1494,"1594, 1680","10323, 10363"
55,2005,d345,60,FT921-11612,1494,"1594, 1680","60, 147"
56,2005,d345,6929,FT921-11612,1494,"1494, 1593","6929, 6988"
57,2005,d345,11188,FT921-11612,2023,"2023, 2084","11316, 11372"
58,2005,d345,8864,FT921-11612,2023,"2023, 2084","8884, 8922"
59,2005,d345,6929,FT921-11612,2023,"2023, 2084","6989, 7076"
60,2005,d345,3153,FT921-11612,2023,"2023, 2084","3153, 3236"
61,2005,d345,60,FT921-11612,2023,"2023, 2084","250, 285"
62,2005,d345,5563,FT921-11612,2023,"2023, 2084","5624, 5669"
63,2005,d345,6702,FT921-16023,0,"21, 67","6702, 6760"
64,2005,d345,6702,FT921-16023,725,"740, 763","6702, 6760"
