,database,topic,scuSentCharIdx,documentFile,docSentCharIdx,docSpanOieOffsets,docSpanOffsets,summarySpanOieOffsets,summarySpanOffsets
0,2005,d345,10505,FT911-1006,180,"224, 291","232, 318","10535, 10549;10557, 10608","10551, 10607"
1,2005,d345,10505,FT911-1006,180,"194, 231;237, 317","232, 318","10535, 10549;10557, 10608","10551, 10607"
2,2005,d345,1720,FT911-1006,5592,"5592, 5664","5592, 5664","1720, 1762;1827, 1910","1870, 1944"
3,2005,d345,1720,FT911-1006,5592,"5592, 5664","5592, 5664","1720, 1762;1893, 1945","1870, 1944"
4,2005,d345,10365,FT911-1006,5592,"5592, 5664","5592, 5664","10365, 10369;10380, 10415","10365, 10415"
5,2005,d345,5304,FT911-1006,5592,"5592, 5664","5592, 5664","5304, 5491","5399, 5490"
6,2005,d345,5304,FT911-1006,5592,"5592, 5664","5592, 5664","5304, 5324;5403, 5491","5399, 5490"
7,2005,d345,8864,FT911-4694,522,"553, 632","522, 631","8864, 8923","8864, 8883"
8,2005,d345,5563,FT911-4694,522,"553, 632","522, 631","5572, 5600","5572, 5601"
9,2005,d345,3405,FT911-4694,522,"553, 632","522, 631","3433, 3453;3455, 3486","3414, 3491"
10,2005,d345,3405,FT911-4694,522,"553, 632","522, 631","3405, 3412;3414, 3453;3478, 3546","3414, 3491"
11,2005,d345,60,FT911-4694,522,"553, 632","522, 631","223, 351","286, 319"
12,2005,d345,6367,FT911-4694,858,"858, 887;889, 941","858, 977","6496, 6562","6496, 6561"
13,2005,d345,6702,FT921-10767,0,"0, 42;100, 160","15, 44","6702, 6760;6762, 6820;6822, 6866","6702, 6760"
14,2005,d345,6702,FT921-10767,0,"0, 42;162, 211","15, 44","6702, 6760;6762, 6820;6822, 6866","6702, 6760"
15,2005,d345,6702,FT921-10767,0,"0, 42;100, 160","15, 44","6702, 6760;6822, 6928","6702, 6760"
16,2005,d345,6702,FT921-10767,0,"0, 42;162, 211","15, 44","6702, 6760;6822, 6928","6702, 6760"
17,2005,d345,4911,FT921-10767,0,"0, 42;100, 160","15, 44","4911, 5100","4942, 4991"
18,2005,d345,4911,FT921-10767,0,"0, 42;162, 211","15, 44","4911, 5100","4942, 4991"
19,2005,d345,6929,FT921-10767,0,"0, 42;100, 160","0, 11;106, 160","6929, 6971;6978, 7115","6929, 6988"
